player,nfl_team,current_adp,planning_adp,situation_score,breakout_score,competition_score,depth_role,rz20Role,rz10Role,rz5Role,historicalOwnRoleDelta,historicalGoalLineCompetition,goalLineCompetition,topHistoricalCompetitor2026Team,topCompetitorStillTeammate,qbGoalLineShare,teHybridGoalLineShare,shortYardageSpecialist,teamScoringEnvironment,roleChangeDirection,roleChangeMagnitude,confidence,currentSystemContext,evidenceSummary,situation_summary
Jonah Coleman,DEN,156.800000,162.1,67,,42,RB3,,,,,,,UNKNOWN,False,,,,,SYSTEM_CHANGED,,LOW,No independently verified 2026 role report; prior-season evidence only.,No 2025 NFL rushing-role evidence,"RB3. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Dylan Sampson,CLE,157.100000,172.7,57,,63,RB2,0.114754,0.028571,0.000000,,0.500000,0.500000,CLE,True,0.041667,0.083333,1.000000,1.529412,NEW_ROLE,,LOW,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.11/0.03/0.00; top i5 teammate Quinshon Judkins (RB) 0.50; same team; current competitor continuity=yes,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Braelon Allen,NYJ,157.300000,184.25,64,,63,RB2,0.111111,0.142857,0.083333,-0.070513,0.416667,,UNKNOWN,False,0.416667,0.000000,1.000000,1.529412,PROJECTED_RELIEF,0.416667,LOW_MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.11/0.14/0.08; top i5 teammate Justin Fields (QB) 0.42; same team; current competitor continuity=no/unknown,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Mike Washington Jr.,LV,157.300000,179.4,63,,63,RB2,,,,,,,UNKNOWN,False,,,,,SYSTEM_CHANGED,,LOW,No independently verified 2026 role report; prior-season evidence only.,No 2025 NFL rushing-role evidence,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
MarShawn Lloyd,GB,157.800000,180.75,65,,63,RB2,,,,,,,UNKNOWN,False,,,,,SYSTEM_CHANGED,,LOW,No independently verified 2026 role report; prior-season evidence only.,No 2025 NFL rushing-role evidence,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Ray Davis,BUF,158.300000,196.6,78,,63,RB2,0.063063,0.047619,0.046512,-0.047238,0.418605,0.418605,BUF,True,0.395349,0.000000,1.000000,3.470588,STABLE,-0.047238,LOW,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.06/0.05/0.05; top i5 teammate Josh Allen (QB) 0.40; same team; current competitor continuity=yes,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Tank Bigsby,PHI,158.700000,170.55,76,,63,RB2,0.188889,0.183673,0.181818,-0.318182,0.454545,0.454545,PHI,True,0.363636,0.000000,1.000000,2.529412,DECLINING,-0.318182,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.19/0.18/0.18; top i5 teammate Saquon Barkley (RB) 0.45; same team; current competitor continuity=yes,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Kaelon Black,SF,160.000000,156.8,75,,63,RB2,,,,,,,UNKNOWN,False,,,,,SYSTEM_CHANGED,,LOW,No independently verified 2026 role report; prior-season evidence only.,No 2025 NFL rushing-role evidence,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
James Conner,ARI,160.300000,187.75,37,,30,RB_RESERVE_INJURED,0.096154,0.083333,0.150000,-0.502174,0.400000,,UNKNOWN,False,0.200000,0.050000,1.000000,2.235294,PROJECTED_RELIEF,0.400000,LOW,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.10/0.08/0.15; top i5 teammate Bam Knight (RB) 0.40; same team; current competitor continuity=no/unknown,"RB_RESERVE_INJURED. Foot; Questionable for Week 1 at L.A. Chargers; CBS updated Fri, Aug 14; NFFC Return Date 8/22/2026 is non-publication metadata. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Keaton Mitchell,LAC,160.500000,170.9,75,,63,RB2,0.132075,0.038462,0.000000,0.000000,0.843750,,BAL,False,0.031250,0.093750,1.000000,2.705882,SYSTEM_CHANGED,,LOW,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.13/0.04/0.00; top i5 teammate Derrick Henry (RB) 0.84; team/system changed; current competitor continuity=no/unknown,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Brian Robinson,ATL,162.400000,153.65,67,,63,RB2,0.131313,0.086957,0.076923,-0.317016,0.769231,,SF,False,0.115385,0.000000,1.000000,2.823529,SYSTEM_CHANGED,,LOW,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.13/0.09/0.08; top i5 teammate Christian McCaffrey (RB) 0.77; team/system changed; current competitor continuity=no/unknown,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Emmett Johnson,KC,163.300000,178.7,61,,45,RB3,,,,,,,UNKNOWN,False,,,,,SYSTEM_CHANGED,,LOW,No independently verified 2026 role report; prior-season evidence only.,No 2025 NFL rushing-role evidence,"RB3. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Najee Harris,,163.600000,,,,,,0.013514,0.000000,0.000000,-0.461538,0.380952,,LAC,False,0.190476,0.000000,1.000000,2.117647,SYSTEM_CHANGED,,LOW,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.01/0.00/0.00; top i5 teammate Omarion Hampton (RB) 0.38; team/system changed; current competitor continuity=no/unknown,
Jaydon Blue,DAL,168.700000,200,65,,63,RB2,0.081395,0.044444,0.033333,,0.666667,0.666667,DAL,True,0.166667,0.000000,1.000000,2.882353,NEW_ROLE,,LOW,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.08/0.04/0.03; top i5 teammate Javonte Williams (RB) 0.67; same team; current competitor continuity=yes,"RB2. Shoulder; Questionable for Week 1 at N.Y. Giants; CBS updated Tue, Aug 18; NFFC Return Date 8/22/2026 is non-publication metadata. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Justice Hill,BAL,168.800000,167.9,69,,63,RB2,0.028302,0.019231,0.031250,-0.012228,0.843750,0.843750,BAL,True,0.031250,0.093750,1.000000,2.705882,STABLE,-0.012228,LOW,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.03/0.02/0.03; top i5 teammate Derrick Henry (RB) 0.84; same team; current competitor continuity=yes,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Samaje Perine,CIN,169.000000,200.85,66,,63,RB2,0.271186,0.258065,0.200000,0.164286,0.650000,0.650000,CIN,True,0.150000,0.000000,1.000000,2.764706,RISING,0.164286,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.27/0.26/0.20; top i5 teammate Chase Brown (RB) 0.65; same team; current competitor continuity=yes,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Ty Johnson,BUF,182.400000,169.7,56,,30,RB_RESERVE,0.171171,0.174603,0.139535,0.077035,0.418605,0.418605,BUF,True,0.395349,0.000000,1.000000,3.470588,STABLE,0.077035,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.17/0.17/0.14; top i5 teammate Josh Allen (QB) 0.40; same team; current competitor continuity=yes,"RB_RESERVE. Knee; Questionable for Week 1 at Houston; CBS updated Sat, Aug 15; NFFC Return Date 8/22/2026 is non-publication metadata. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
